title,release date,artist name,genre
El Sistema,2021-07-22,Zion & Lennox,"['latin hip hop', 'reggaeton', 'trap latino']"
Me Enamora,2021-04-22,Zion & Lennox,"['latin hip hop', 'reggaeton', 'trap latino']"
Dear Evan Hansen (Original Motion Picture Soundtrack),2021-09-24,Sam Smith,"['dance pop', 'pop', 'uk pop']"
Diamonds,2020-09-17,Sam Smith,"['dance pop', 'pop', 'uk pop']"
Scaled And Icy (Livestream Version),2021-11-19,Twenty One Pilots,"['modern rock', 'rock']"
Chlorine (Mexico City),2019-06-21,Twenty One Pilots,"['modern rock', 'rock']"
CHARLIE,2022-10-07,Charlie Puth,"['dance pop', 'pop', 'viral pop']"
Light Switch (Tiësto Remix),2022-03-04,Charlie Puth,"['dance pop', 'pop', 'viral pop']"
OzuTochi,2022-10-07,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino']"
Apretaito,2022-04-07,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino']"
"Multimillo, Vol. 1",2022-07-01,Wisin,"['latin hip hop', 'reggaeton', 'trap latino']"
Fiel,2021-02-04,Wisin,"['latin hip hop', 'reggaeton', 'trap latino']"
Queen Radio: Volume 1,2022-08-28,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
Pink Friday ... Roman Reloaded (Deluxe Edition),2012-04-03,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
"Honestly, Nevermind",2022-06-17,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Nothing Was The Same (Deluxe),2013-01-01,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Dopamina,2021-04-09,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Mala Costumbre,2021-01-07,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Legendary (Deluxe Edition),2019-08-23,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Hotel California (Deluxe),2013-01-01,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Stay +,2017-12-29,Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Funny (Stripped),2020-08-14,Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Rare (Deluxe),2020-04-09,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']"
Selfish Love (with Selena Gomez) EP,2021-05-07,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']"
Future Nostalgia (The Moonlight Edition),2021-02-12,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
Sweetest Pie,2022-03-10,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
